station_id,name,lat,lon,capacity,android_uri,ios_uri
24,18- ANZORENA,-32.9163,-68.84637,15,https://bicitran.stmendoza.com/hub-detail/24,https://bicitran.stmendoza.com/hub-detail/24
25,19- PARQUE MITRE,-32.92154,-68.84014,9,https://bicitran.stmendoza.com/hub-detail/25,https://bicitran.stmendoza.com/hub-detail/25
26,20- PLAZA GODOY CRUZ,-32.924805161663286,-68.84405040740965,16,https://bicitran.stmendoza.com/hub-detail/26,https://bicitran.stmendoza.com/hub-detail/26
27,21- PARQUE ALFONSIN,-32.92152,-68.85168,15,https://bicitran.stmendoza.com/hub-detail/27,https://bicitran.stmendoza.com/hub-detail/27
28,22- PARQUE SAN VICENTE,-32.93178365730272,-68.8513809636956,13,https://bicitran.stmendoza.com/hub-detail/28,https://bicitran.stmendoza.com/hub-detail/28
29,23_PUENTE CICLOVÍA,-32.94002,-68.85025,15,https://bicitran.stmendoza.com/hub-detail/29,https://bicitran.stmendoza.com/hub-detail/29
31,24_PARQUE BENEGAS,-32.95237,-68.85304,14,https://bicitran.stmendoza.com/hub-detail/31,https://bicitran.stmendoza.com/hub-detail/31
33,25_PARQUE LINEAL,-32.8703,-68.84326,12,https://bicitran.stmendoza.com/hub-detail/33,https://bicitran.stmendoza.com/hub-detail/33
44,26_CARRODILLA,-32.95887,-68.85259,14,https://bicitran.stmendoza.com/hub-detail/44,https://bicitran.stmendoza.com/hub-detail/44
47,09_TERMINAL,-32.893892,-68.830968,10,https://bicitran.stmendoza.com/hub-detail/47,https://bicitran.stmendoza.com/hub-detail/47
48,35- HOSPITAL MILITAR,-32.8802579,-68.8598689,12,https://bicitran.stmendoza.com/hub-detail/48,https://bicitran.stmendoza.com/hub-detail/48
49,28- PLAZA DR. MATONS,-32.873507,-68.851832,10,https://bicitran.stmendoza.com/hub-detail/49,https://bicitran.stmendoza.com/hub-detail/49
50,27- PARQUE CENTRAL,-32.878504,-68.839175,16,https://bicitran.stmendoza.com/hub-detail/50,https://bicitran.stmendoza.com/hub-detail/50
52,29- LOS CONSTITUYENTES,-32.86487,-68.849,7,https://bicitran.stmendoza.com/hub-detail/52,https://bicitran.stmendoza.com/hub-detail/52
53,31-PASEO MOSCONI,-32.8621688,-68.8327164,15,https://bicitran.stmendoza.com/hub-detail/53,https://bicitran.stmendoza.com/hub-detail/53
54,Hub-prueba,-32.88644001979814,-68.86474374219898,25,https://bicitran.stmendoza.com/hub-detail/54,https://bicitran.stmendoza.com/hub-detail/54
55,34- PLAZA PEDRO DEL CASTILLO,-32.879188,-68.828269,15,https://bicitran.stmendoza.com/hub-detail/55,https://bicitran.stmendoza.com/hub-detail/55
56,30- SAN ANTONIO,-32.86998,-68.82757,14,https://bicitran.stmendoza.com/hub-detail/56,https://bicitran.stmendoza.com/hub-detail/56
59,38- PLAZA NESTOR LENCINAS,-32.8934375,-68.8244375,11,https://bicitran.stmendoza.com/hub-detail/59,https://bicitran.stmendoza.com/hub-detail/59
60,42-JULIO LE PARC,-32.889117,-68.815511,15,https://bicitran.stmendoza.com/hub-detail/60,https://bicitran.stmendoza.com/hub-detail/60
61,46- PANAMERICANA,-32.960232,-68.864111,15,https://bicitran.stmendoza.com/hub-detail/61,https://bicitran.stmendoza.com/hub-detail/61
62,48- PLAZA CHACRAS,-32.986616,-68.882568,12,https://bicitran.stmendoza.com/hub-detail/62,https://bicitran.stmendoza.com/hub-detail/62
63,47- BESARES,-32.981171,-68.875186,8,https://bicitran.stmendoza.com/hub-detail/63,https://bicitran.stmendoza.com/hub-detail/63
64,39- EJERCITO DE LOS ANDES,-32.9106107,-68.8326816,10,https://bicitran.stmendoza.com/hub-detail/64,https://bicitran.stmendoza.com/hub-detail/64
65,40- PEDRO VARGAS ,-32.902574,-68.833297,11,https://bicitran.stmendoza.com/hub-detail/65,https://bicitran.stmendoza.com/hub-detail/65
66,41- ESCUELA JORGE A CALLE,-32.903721,-68.826308,10,https://bicitran.stmendoza.com/hub-detail/66,https://bicitran.stmendoza.com/hub-detail/66
67,45- PROGRESO,-32.9264,-68.833396,10,https://bicitran.stmendoza.com/hub-detail/67,https://bicitran.stmendoza.com/hub-detail/67
68,44- PLAZA MOISES LEBENSOHN,-32.900404,-68.820714,11,https://bicitran.stmendoza.com/hub-detail/68,https://bicitran.stmendoza.com/hub-detail/68
69,37- ESCUELA GUILLERMO CANO,-32.88904,-68.821927,11,https://bicitran.stmendoza.com/hub-detail/69,https://bicitran.stmendoza.com/hub-detail/69
70,TALLER BICITRAN,-32.8798711,-68.82992639999999,40,https://bicitran.stmendoza.com/hub-detail/70,https://bicitran.stmendoza.com/hub-detail/70
71,49- FUENTE DE LOS CONTINENTES,-32.889321,-68.866387,28,https://bicitran.stmendoza.com/hub-detail/71,https://bicitran.stmendoza.com/hub-detail/71
72,50- CLUB REGATAS,-32.894291,-68.867444,15,https://bicitran.stmendoza.com/hub-detail/72,https://bicitran.stmendoza.com/hub-detail/72
73,52- PLAZOLETA KOLTON,-32.901498,-68.864646,12,https://bicitran.stmendoza.com/hub-detail/73,https://bicitran.stmendoza.com/hub-detail/73
74,51- GIMNASIO N°1,-32.895967,-68.859202,8,https://bicitran.stmendoza.com/hub-detail/74,https://bicitran.stmendoza.com/hub-detail/74
